report_no,name,maker,prdlst_type,report_date,chng_dt,category,ingredient_count,ingredients_json
2002046107310447,제로톡톡(청포도),(주)동원홈푸드,음료베이스,2020-03-16,2020-06-18,zero,6,"[""기타가공품"", ""구연산"", ""혼합제제"", ""효소처리스테비아"", ""정제수"", ""천연향료""]"
2002046107310448,제로톡톡(체리),(주)동원홈푸드,음료베이스,2020-03-13,2020-04-03,zero,6,"[""정제수"", ""천연향료"", ""효소처리스테비아"", ""기타가공품"", ""혼합제제"", ""구연산""]"
20190442149361,제로톡톡(체리),(주)동원홈푸드,음료베이스,2020-03-16,2020-04-03,zero,6,"[""정제수"", ""천연향료"", ""효소처리스테비아"", ""기타가공품"", ""혼합제제"", ""구연산""]"
2002046107310446,제로톡톡(피치),(주)동원홈푸드,음료베이스,2020-03-13,2020-04-03,zero,6,"[""정제수"", ""천연향료"", ""효소처리스테비아"", ""기타가공품"", ""구연산"", ""혼합제제""]"
20190442149359,제로톡톡(피치),(주)동원홈푸드,음료베이스,2020-03-16,2020-04-03,zero,6,"[""정제수"", ""천연향료"", ""효소처리스테비아"", ""기타가공품"", ""구연산"", ""혼합제제""]"
19930383522104,제로투 콩식용유,하이브 주식회사,콩기름(대두유),2023-08-29,2023-09-05,zero,2,"[""콩기름(대두유)"", ""규소수지""]"
2013001815850,제로투(ZERO 2),주식회사 금복주,소주,2022-09-13,2022-09-13,zero,9,"[""에리스리톨"", ""자일리톨"", ""스테비올배당체"", ""효소처리스테비아"", ""쌀증류식소주원액"", ""쌀증류식소주원액"", ""주정"", ""정제수"", ""토마틴""]"
2013001815856,제로투(ZERO 2) 스페셜,주식회사 금복주,소주,2023-06-23,2025-08-05,zero,8,"[""토마틴"", ""자일리톨"", ""스테비올배당체"", ""효소처리스테비아"", ""쌀증류식소주원액"", ""쌀증류식소주원액"", ""주정"", ""정제수""]"
2013001815855,"제로투(ZERO 2, 전량수출용)",주식회사 금복주,소주,2023-05-08,2023-05-08,zero,8,"[""정제수"", ""주정"", ""쌀증류식소주원액"", ""쌀증류식소주원액"", ""아스파탐"", ""자일리톨"", ""에리스리톨"", ""토마틴""]"
20190085116151,"제로투, 필 소울",주식회사 인퓨저,침출차,2020-09-22,2020-09-30,zero,5,"[""홍차"", ""건조라벤더"", ""건조오렌지"", ""로즈힙"", ""수레국화꽃잎""]"
20050193275210,제로투웨이,케이에이치캠프,기타가공품,2023-01-17,2023-01-19,zero,3,"[""검정콩분말"", ""유청단백분말"", ""농축유청""]"
20050342257894,제로티라미수,주식회사 케익드라마,빵류,2023-08-17,2026-06-18,zero,21,"[""식품첨가물"", ""혼합제제"", ""베이킹파우더"", ""식품첨가물"", ""혼합제제"", ""젤라틴"", ""혼합제제"", ""혼합제제"", ""코코아분말"", ""커피"", ""전분가공품"", ""콩기름(대두유)"", ""기타가공품"", ""혼합제제"", ""난황액"", ""치즈"", ""D-말티톨"", ""정제수"", ""살균전란액"", ""식물성크림"", ""땅콩 또는 견과류가공품""]"
20050342257926,제로티라미슈,주식회사 케익드라마,빵류,2024-02-21,2026-06-27,zero,21,"[""당류가공품"", ""치즈"", ""D-말티톨"", ""정제수"", ""말티톨시럽"", ""전란액"", ""식물성크림"", ""콩기름(대두유)"", ""땅콩 또는 견과류가공품"", ""난황액"", ""혼합제제"", ""팽창제제"", ""식품첨가물"", ""혼합제제"", ""식품첨가물"", ""혼합제제"", ""혼합제제"", ""커피"", ""코코아분말"", ""기타가공품"", ""전분""]"
20040415088169,제로티베이스,주식회사 엔푸드,음료베이스,2015-04-15,2016-07-06,zero,7,"[""옥미수엑기스"", ""말토덱스트린"", ""탄산수소나트륨"", ""글리신"", ""옥수수향"", ""안식향산나트륨"", ""정제수""]"
200704431101134,제로티워터 레몬그린,(주)삼양패키징광혜원공장,액상차,2026-05-08,2026-07-14,zero,7,"[""과.채가공품"", ""기타가공품"", ""탄산수소나트륨"", ""향료"", ""향료"", ""향료"", ""정제수""]"
200704431101168,제로티워터 샤인자스민,(주)삼양패키징광혜원공장,액상차,2026-07-13,2026-07-15,zero,10,"[""정제수"", ""향료"", ""향료"", ""향료"", ""구연산"", ""탄산수소나트륨"", ""히알루론산"", ""기타가공품"", ""과.채가공품"", ""과.채가공품""]"
200704431101133,제로티워터 피치우롱,(주)삼양패키징광혜원공장,액상차,2026-05-08,2026-07-14,zero,9,"[""과.채가공품"", ""기타가공품"", ""탄산수소나트륨"", ""구연산"", ""향료"", ""혼합제제"", ""향료"", ""향료"", ""정제수""]"
2002046107316436,제로파스타 기본소스,(주)동원홈푸드,소스,2025-11-18,2025-11-20,zero,16,"[""올레오레진 캪시컴"", ""5-리보뉴클레오티드이나트륨"", ""타마린드검"", ""간장분말"", ""양파분말"", ""복합조미식품"", ""복합조미식품"", ""마늘가루"", ""고춧가루"", ""설탕"", ""사골엑기스분말"", ""L-글루탐산나트륨"", ""정제소금"", ""정제수"", ""후추가루"", ""소스""]"
20190085116154,"제로파이브, 비 다이내믹",주식회사 인퓨저,침출차,2020-09-22,2020-10-06,zero,5,"[""식품첨가물혼합제제"", ""스테비아잎"", ""사과다이스"", ""마테"", ""건조녹차""]"
